station_name,cid,Office_ratio,Culture_ratio,Education_ratio,Sports_ratio,Healthcare_ratio,Commercial_ratio,Nature_ratio,Greenspace_ratio,Transport_ratio,Special_ratio,Industrial_ratio,Residential_ratio,Utilities_ratio,water_rati
荔湾芳村,22398,0.0,0.0,0.225013298,0.0,0.0,0.171744903,0.04502441,0.0,0.267625758,0.0,0.055447634,0.234660547,0.0,0.043943371
海珠沙园,23481,0.0,0.0,0.076573152,0.0,0.0,0.212516638,0.004210758,0.0,0.07637333,0.0,0.011026606,0.618765457,6.63e-06,0.001736652
海珠湖,22436,0.0,0.0,0.0,0.0,0.0,0.003566139,0.987566585,0.0,0.0,0.008273357,0.0,0.0,0.0,0.842314613
番禺大石,19535,0.0,0.0,0.0,0.0,0.0,0.085290254,0.508753873,0.0,0.052098868,0.0,0.0,0.167535742,0.185771118,0.467721428
番禺南村,18678,0.0,0.0,0.131408712,0.064400858,0.0,0.0,0.445992138,0.0,0.094204374,0.0,0.092678578,0.169834698,0.000816773,0.0
番禺亚运城,16859,0.118239412,0.0,0.320969098,0.0,0.0,0.013439384,0.000513413,0.0,0.117480675,0.0,0.0,0.425975725,0.002587875,0.0
番禺大夫山,15711,0.0,0.0,0.0,0.0,0.0,0.0,0.977926418,0.0,0.0,0.02148528,0.0,0.0,0.0,0.0
番禺沙湾,13437,0.093280023,0.0,0.24375981,0.0,0.000457222,0.021273202,0.0,0.009209027,0.231384652,0.0,0.0,0.400012656,0.0,0.0
南沙榄核,9521,0.023562824,0.017580706,0.0,0.0,0.0,0.0,0.022006939,0.04416181,0.33283041,0.0,0.010676438,0.545359959,0.003197753,0.0
南沙沙螺湾,8997,0.08090003,0.003352739,0.0,0.0,0.00273118,0.116206248,0.143380895,0.0,0.315464374,0.0,0.0,0.332920513,0.004167793,0.0
南沙蒲州,6866,0.0,0.034457509,0.0,0.0,0.0,0.424057643,0.21309525,0.0,0.327443431,0.0,0.0,0.0,0.0,0.150346949
南沙新垦,904,0.0,0.0,0.0,0.0,0.0,0.009102403,0.743256672,0.0,0.105924333,0.00288395,0.055544467,0.0,0.082303841,0.514529499
杨箕路边站,26337,0.038311201,0.0,0.028326165,0.0,0.0,0.040060763,0.0,0.0,0.245890931,0.0,0.0,0.646837324,0.0,0.0
黄沙路边站,25337,0.126395163,0.003316077,0.065389153,0.0,0.0,0.007322796,0.0,0.0,0.302988714,0.0,0.202734597,0.29136664,0.0,0.0
增城正果,70058,0.0,0.0,0.376662557,0.0,0.0,0.0,0.324824203,0.0,0.022736678,0.0,0.231688762,0.042828145,0.0,0.0
增城小楼,63840,0.044982152,0.0,0.0,0.0,0.0,0.233709734,0.382827619,0.019547333,0.174183644,0.0,0.061483966,0.012622676,0.069449843,0.207960764
黄埔长岭,37317,0.0,0.0,0.304023108,0.0,0.0,0.0,0.512502513,0.0,0.014683654,0.0,0.0,0.167982527,0.0,0.0
黄埔萝岗,32444,0.0,0.0,0.0,0.0,0.0,0.160571727,0.019704111,0.0,0.22708795,0.0,0.0,0.591821386,0.0,0.0
